Dia;Sessao;Turno;Horario_Inicio;Bloco;Sala;Ordem;Evento;Código do Resumo;Título;Submissor;Área;Modalidade
Segunda-feira;Sessão 4;Tarde;16:30;Ciências Exatas;PA-09;2;24ª - ENEC;202625828;Divulgação da Revista Científica Quaternary And Environmental Geosciences;CARLOS CONFORTI FERREIRA GUEDES;Comunicação;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:50;Ciências Exatas;PA-09;3;24ª - ENEC;202623548;Elétrica para Todos: Integração da Engenharia Elétrica com a Sociedade;SEBASTIAO RIBEIRO JUNIOR;Comunicação;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;17:10;Ciências Exatas;PA-09;4;24ª - ENEC;202625665;Estúdio de Produção de Conteúdo em Cultura da Ufpr;JONATHAN FABRICIO DELGADO;Comunicação;Comunicação Oral
Segunda-feira;Sessão 5;Noite;19:00;Ciências da Terra;CT02;1;24ª - ENEC;202625843;Experiências de Produção Audiovisual em Um Museu Universitário;JUDIT GOMES DA SILVA;Comunicação;Comunicação Oral
Segunda-feira;Sessão 5;Noite;19:20;Ciências da Terra;CT02;2;24ª - ENEC;202623422;Graphus – Laboratório de Criação e Design Editorial;HERTEZ WENDEL DE CAMARGO;Comunicação;Comunicação Oral
Segunda-feira;Sessão 5;Noite;19:40;Ciências da Terra;CT02;3;24ª - ENEC;202626413;Irradiando Direitos - Ufpr;JAIR BEZERRA DOS ANJOS SILVA;Comunicação;Comunicação Oral
Segunda-feira;Sessão 5;Noite;20:00;Ciências da Terra;CT02;4;24ª - ENEC;202626338;Mac Ufpr - Matemática Aplicada e Computacional;THIAGO DE OLIVEIRA QUINELATO;Comunicação;Comunicação Oral
Segunda-feira;Sessão 5;Noite;19:00;Ciências da Terra;CT03;1;24ª - ENEC;202626253;Marketing Científico na Revista Atoz - Novas Práticas em Informação e Conhecimento;PAULA CARINA DE ARAUJO;Comunicação;Comunicação Oral
Terça-feira;Sessão 1;Manhã;08:20;Ciências da Terra;CT01;1;24ª - ENEC;202626307;Mediahub - Laboratório de Comunicação;AYUMI NAKABA SHIBAYAMA;Comunicação;Comunicação Oral
Terça-feira;Sessão 1;Manhã;08:40;Ciências da Terra;CT01;2;24ª - ENEC;202625655;Narrativas e Imagens: o Lugar da Pesquisa e da Fotografia em Um Museu;JUDIT GOMES DA SILVA;Comunicação;Comunicação Oral
Segunda-feira;Sessão 5;Noite;19:20;Ciências da Terra;CT03;2;24ª - ENEC;202625583;Núcleo de Comunicação e Eventos do Setor de Ciências Humanas da Ufpr;PEDRO HENRIQUE DE CARVALHO COSTA;Comunicação;Comunicação Oral
Terça-feira;Sessão 2;Manhã;10:30;Ciências da Terra;CT01;1;24ª - ENEC;202625772;O Museu Vai Às Escolas: Comunicar Educando para as Relações Étnico-raciais;JUDIT GOMES DA SILVA;Comunicação;Comunicação Oral
Segunda-feira;Sessão 5;Noite;19:40;Ciências da Terra;CT03;3;24ª - ENEC;202623785;Observatório de Turismo do Paraná – Obstur/pr;JULIANA MEDAGLIA SILVEIRA;Comunicação;Comunicação Oral
Segunda-feira;Sessão 5;Noite;20:00;Ciências da Terra;CT03;4;24ª - ENEC;202625545;Prattica - Agência Experimental de Relações Públicas - Fase 3;CLAUDIA IRENE DE QUADROS;Comunicação;Comunicação Oral
Terça-feira;Sessão 1;Manhã;09:00;Ciências da Terra;CT01;3;24ª - ENEC;202625725;Preservação e Divulgação da Memória Institucional (pdmi);FLAVIA LUCIA BAZAN BESPALHOK;Comunicação;Comunicação Oral
Terça-feira;Sessão 1;Manhã;09:20;Ciências da Terra;CT01;4;24ª - ENEC;202626305;Rede Sonora de Informação e Ciência – Resinfoc Ou Informação e Ciência - Podcast Jornalístico - Infoc;ROSANGELA STRINGARI;Comunicação;Comunicação Oral
Terça-feira;Sessão 2;Manhã;10:50;Ciências da Terra;CT01;2;24ª - ENEC;202626303;Rede de Jornalismo para a Cidadania – Rejorc;ROSANGELA STRINGARI;Comunicação;Comunicação Oral
